(fort10_06b) UCI J-v8.4 (4/06) JPL026+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
           0.000E+00 0.000E+00 2.249E-20 4.044E-20 4.622E-20 4.899E-20
           3.750E-20 2.115E-20 1.081E-20 1.314E-21 0.000E+00 0.000E+00
ACT    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.255E-20 3.407E-20 2.870E-20 2.348E-20
           1.103E-20 2.824E-21 5.946E-22 2.577E-23 0.000E+00 0.000E+00
ACT    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.255E-20 3.407E-20 2.870E-20 2.348E-20
           1.103E-20 2.824E-21 5.946E-22 2.577E-23 0.000E+00 0.000E+00
MEK    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 4.075E-20 4.621E-20 4.502E-20 4.145E-20
           2.672E-20 1.559E-20 7.737E-21 7.998E-22 0.000E+00 0.000E+00
MEK    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 4.075E-20 4.621E-20 4.502E-20 4.145E-20
           2.672E-20 1.559E-20 7.737E-21 7.998E-22 0.000E+00 0.000E+00
KET    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 4.075E-20 4.621E-20 4.502E-20 4.145E-20
           2.672E-20 1.559E-20 7.737E-21 7.998E-22 0.000E+00 0.000E+00
KET    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 4.075E-20 4.621E-20 4.502E-20 4.145E-20
           2.672E-20 1.559E-20 7.737E-21 7.998E-22 0.000E+00 0.000E+00
HKET   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
