#Name	Type	group ID	MW	Precursor	coll_fac	mole_diam	surf_tens	accomod	mass_dens	non-volatile	partitioning	smiles	psat_torr	dHvap	Henry	Tref	irr_name	 kirreversible
PBCLKAOOH	4	2	270.32	BCLKAOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.44E-10	1.27E+02	0.	0.	--	0.
PBCLKACO	4	2	252.31	BCLKACO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.90E-07	1.07E+02	0.	0.	--	0.
PBCLKAOH	4	2	254.32	BCLKAOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.05E-09	1.19E+02	0.	0.	--	0.
PBCLKBOOH	4	2	270.32	BCLKBOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.07E-10	1.29E+02	0.	0.	--	0.
PBCLKBCO	4	2	252.31	BCLKBCO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.11E-07	1.07E+02	0.	0.	--	0.
PBCLKBOH	4	2	254.32	BCLKBOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.64E-09	1.21E+02	0.	0.	--	0.
PBCLKCOOH	4	2	270.32	BCLKCOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.44E-10	1.27E+02	0.	0.	--	0.
PBCLKCCO	4	2	252.31	BCLKCCO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.90E-07	1.07E+02	0.	0.	--	0.
PBCLKCOH	4	2	254.32	BCLKCOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.05E-09	1.19E+02	0.	0.	--	0.
PC131OOH	4	2	242.31	C131OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.90E-08	1.13E+02	0.	0.	--	0.
